	genome_id	genome_name	accession	annotation	feature_type	gene_id	start	end	strand	na_length	gene	product	ec	refseq_locus_tag
127	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00064	81994	81650	-	344	scn	Staphylococcal complement inhibitor		1280pt26024_00064
129	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00065	82184	84013	+	1829		Staphylocoagulase		1280pt26024_00065
131	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00066	85784	84600	-	1184	fadA	3-ketoacyl-CoA thiolase	2.3.1.16	1280pt26024_00066
133	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00067	88075	85814	-	2261	fadN	putative 3-hydroxyacyl-CoA dehydrogenase	1.1.1.35	1280pt26024_00067
135	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00068	89473	88262	-	1211	caiA	Crotonobetainyl-CoA reductase	1.3.8.13	1280pt26024_00068
137	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00069	91090	89585	-	1505	lcfB	Long-chain-fatty-acid--CoA ligase	6.2.1.3	1280pt26024_00069
139	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00070	92678	91116	-	1562	carA_1	Caffeate CoA-transferase	2.8.3.23	1280pt26024_00070
141	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00071	93052	93723	+	671		hypothetical protein		1280pt26024_00071
143	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00072	93860	95089	+	1229		hypothetical protein		1280pt26024_00072
145	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00073	96875	95400	-	1475	nikA	Nickel-binding protein NikA		1280pt26024_00073
147	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00074	97429	97073	-	356		hypothetical protein		1280pt26024_00074
149	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00075	97759	97586	-	173		hypothetical protein		1280pt26024_00075
151	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00076	98929	97784	-	1145	hmp	Flavohemoprotein	1.14.12.17	1280pt26024_00076
153	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00077	99502	100455	+	953	ldh1	L-lactate dehydrogenase 1	1.1.1.27	1280pt26024_00077
155	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00078	102305	100776	-	1529	ptsG_2	PTS system glucose-specific EIICBA component	2.7.1.199	1280pt26024_00078
157	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00079	102669	103604	+	935	rihA	Pyrimidine-specific ribonucleoside hydrolase RihA	3.2.-.-	1280pt26024_00079
159	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00080	103942	105363	+	1421		hypothetical protein		1280pt26024_00080
161	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00081	105382	106038	+	656		hypothetical protein		1280pt26024_00081
163	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00082	106023	106490	+	467	gatA_1	PTS system galactitol-specific EIIA component		1280pt26024_00082
165	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00083	106513	106791	+	278	gatB_1	PTS system galactitol-specific EIIB component	2.7.1.200	1280pt26024_00083
167	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00084	107018	108277	+	1259	gatC_1	PTS system galactitol-specific EIIC component		1280pt26024_00084
169	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00085	108295	109350	+	1055		D-arabitol-phosphate dehydrogenase	1.1.1.301	1280pt26024_00085
171	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00086	109352	109498	+	146		hypothetical protein		1280pt26024_00086
173	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00087	109522	110565	+	1043	gatD_1	Galactitol 1-phosphate 5-dehydrogenase	1.1.1.251	1280pt26024_00087
175	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00088	111093	111809	+	716	tarI2	Ribitol-5-phosphate cytidylyltransferase 2	2.7.7.40	1280pt26024_00088
177	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00089	111802	112827	+	1025	tarJ'	Ribulose-5-phosphate reductase 2	1.1.1.405	1280pt26024_00089
179	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_1	PROKKA	CDS	1280pt26024_00090	112849	114543	+	1694	tarK	Teichoic acid ribitol-phosphate polymerase TarK	2.7.8.14	1280pt26024_00090
181	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00091	284	1273	+	989	ccpA	Catabolite control protein A		1280pt26024_00091
183	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00092	2540	1371	-	1169	acuC	Acetoin utilization protein AcuC		1280pt26024_00092
185	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00093	3197	2565	-	632	acuA	Acetoin utilization protein AcuA	2.3.1.-	1280pt26024_00093
187	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00094	3366	5072	+	1706	acsA_1	Acetyl-coenzyme A synthetase	6.2.1.1	1280pt26024_00094
189	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00095	5512	7179	+	1667	fhs	Formate--tetrahydrofolate ligase	6.3.4.3	1280pt26024_00095
191	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00096	7513	8349	+	836	isdH_1	Iron-regulated surface determinant protein H		1280pt26024_00096
193	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00097	8578	10185	+	1607	isdH_2	Iron-regulated surface determinant protein H		1280pt26024_00097
195	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00098	11296	10391	-	905	mrcA	Penicillin-binding protein 1A		1280pt26024_00098
197	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00099	11677	12939	+	1262	tyrS	Tyrosine--tRNA ligase	6.1.1.1	1280pt26024_00099
199	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00100	14307	13033	-	1274		hypothetical protein		1280pt26024_00100
201	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00101	14479	15096	+	617	plsC	1-acyl-sn-glycerol-3-phosphate acyltransferase	2.3.1.-	1280pt26024_00101
203	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00102	15224	16690	+	1466	nagP	PTS system N-acetylglucosamine-specific EIICB component		1280pt26024_00102
205	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00103	16796	17926	+	1130		hypothetical protein		1280pt26024_00103
207	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00104	19680	18076	-	1604	serA	D-3-phosphoglycerate dehydrogenase	1.1.1.95	1280pt26024_00104
209	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00105	20827	19667	-	1160		Soluble hydrogenase 42 kDa subunit	1.12.-.-	1280pt26024_00105
211	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00106	21388	20942	-	446		hypothetical protein		1280pt26024_00106
213	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00107	21468	22211	+	743	glpQ_1	Glycerophosphodiester phosphodiesterase	3.1.4.46	1280pt26024_00107
215	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00108	23029	22427	-	602	rpsD	30S ribosomal protein S4		1280pt26024_00108
217	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00109	23737	23273	-	464	msrC	Free methionine-R-sulfoxide reductase	1.8.4.14	1280pt26024_00109
219	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00110	23874	25568	+	1694	ezrA	Septation ring formation regulator EzrA		1280pt26024_00110
221	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00111	25909	27075	+	1166	iscS_1	Cysteine desulfurase IscS	2.8.1.7	1280pt26024_00111
223	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00112	27075	28298	+	1223	thiI	putative tRNA sulfurtransferase	2.8.1.4	1280pt26024_00112
225	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00113	28342	29112	+	770	yfcA	putative membrane transporter protein YfcA		1280pt26024_00113
227	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00114	29210	29704	+	494	tpx	Thiol peroxidase	1.11.1.15	1280pt26024_00114
229	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00115	29827	30774	+	947		hypothetical protein		1280pt26024_00115
231	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00116	30861	32063	+	1202	ackA	Acetate kinase	2.7.2.1	1280pt26024_00116
233	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00117	32810	32310	-	500		Putative universal stress protein		1280pt26024_00117
235	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00118	32951	34069	+	1118	ald2	Alanine dehydrogenase 2	1.4.1.1	1280pt26024_00118
237	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00119	35434	34379	-	1055		putative peptidase	3.4.-.-	1280pt26024_00119
239	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00120	35609	36298	+	689		hypothetical protein		1280pt26024_00120
241	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00121	37018	36605	-	413		hypothetical protein		1280pt26024_00121
243	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00122	37223	38521	+	1298	IMPDH	Inosine-5'-monophosphate dehydrogenase	1.1.1.205	1280pt26024_00122
245	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00123	38659	38417	-	242		hypothetical protein		1280pt26024_00123
247	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00124	38831	39772	+	941	nrnA	Bifunctional oligoribonuclease and PAP phosphatase NrnA	3.1.-.-	1280pt26024_00124
249	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00125	39793	42990	+	3197	dnaE	DNA polymerase III subunit alpha	2.7.7.7	1280pt26024_00125
251	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00126	43439	44668	+	1229		NAD-dependent malic enzyme	1.1.1.38	1280pt26024_00126
253	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00127	44863	45720	+	857	accD	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	2.1.3.15	1280pt26024_00127
255	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00128	45720	46664	+	944	accA	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha	2.1.3.15	1280pt26024_00128
257	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00129	46933	47901	+	968	pfkA	ATP-dependent 6-phosphofructokinase	2.7.1.11	1280pt26024_00129
259	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00130	47923	49680	+	1757	pyk	Pyruvate kinase	2.7.1.40	1280pt26024_00130
261	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00131	51388	50027	-	1361	cycA_1	D-serine/D-alanine/glycine transporter		1280pt26024_00131
263	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00132	51736	52857	+	1121	citZ	Citrate synthase 2	2.3.3.16	1280pt26024_00132
265	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00133	52906	54174	+	1268	icd	Isocitrate dehydrogenase [NADP]	1.1.1.42	1280pt26024_00133
267	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00134	54564	55265	+	701	phoP	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP		1280pt26024_00134
269	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00135	55265	56929	+	1664	sasA	Adaptive-response sensory-kinase SasA	2.7.-.-	1280pt26024_00135
271	1280pt26024	1280pt26024	1280pt26024_gnl|P21|1280pt26024_2	PROKKA	CDS	1280pt26024_00136	57430	58917	+	1487		hypothetical protein		1280pt26024_00136
