	genome_id	genome_name	accession	annotation	feature_type	gene_id	start	end	strand	na_length	gene	product	ec	refseq_locus_tag
101	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00051	56666	61312	+	4646		hypothetical protein		1280pt3350_00051
103	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00052	61436	63052	+	1616		hypothetical protein		1280pt3350_00052
105	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00053	64723	63212	-	1511	gtfA_1	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit	2.4.1.-	1280pt3350_00053
107	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00054	65720	64746	-	974		hypothetical protein		1280pt3350_00054
109	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00055	66798	65746	-	1052	murF_1	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	6.3.2.10	1280pt3350_00055
111	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00056	68099	69376	+	1277		hypothetical protein		1280pt3350_00056
113	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00057	69421	69843	+	422		hypothetical protein		1280pt3350_00057
115	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00058	70389	69937	-	452	dus_1	putative tRNA-dihydrouridine synthase	1.3.1.-	1280pt3350_00058
117	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00059	71359	70604	-	755		hypothetical protein		1280pt3350_00059
119	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00060	71619	71359	-	260		hypothetical protein		1280pt3350_00060
121	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00061	71756	72823	+	1067	glpE_2	Thiosulfate sulfurtransferase GlpE	2.8.1.1	1280pt3350_00061
123	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00062	72854	74188	+	1334	gloB_2	Hydroxyacylglutathione hydrolase	3.1.2.6	1280pt3350_00062
125	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00063	74207	75400	+	1193		hypothetical protein		1280pt3350_00063
127	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00064	77053	76067	-	986	dus_2	putative tRNA-dihydrouridine synthase	1.3.1.-	1280pt3350_00064
129	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00065	77614	77910	+	296		hypothetical protein		1280pt3350_00065
131	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00066	79202	77982	-	1220	entS_1	Enterobactin exporter EntS		1280pt3350_00066
133	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00067	79680	79195	-	485	ywqN_1	Putative NAD(P)H-dependent FMN-containing oxidoreductase YwqN	1.-.-.-	1280pt3350_00067
135	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00068	79858	80718	+	860	gltR	HTH-type transcriptional regulator GltR		1280pt3350_00068
137	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00069	81606	81073	-	533		hypothetical protein		1280pt3350_00069
139	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00070	81706	82440	+	734	yofA	HTH-type transcriptional regulator YofA		1280pt3350_00070
141	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00071	82874	83476	+	602		hypothetical protein		1280pt3350_00071
143	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00072	83743	86895	+	3152		hypothetical protein		1280pt3350_00072
145	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00073	86952	87434	+	482		hypothetical protein		1280pt3350_00073
147	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00074	87639	88625	+	986	plc	1-phosphatidylinositol phosphodiesterase	4.6.1.13	1280pt3350_00074
149	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00075	88846	89616	+	770		putative lipoprotein		1280pt3350_00075
151	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00076	89635	90057	+	422		putative lipoprotein		1280pt3350_00076
153	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00077	90054	90437	+	383		putative lipoprotein		1280pt3350_00077
155	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00078	90501	91271	+	770		putative lipoprotein		1280pt3350_00078
157	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00079	91338	92105	+	767		putative lipoprotein		1280pt3350_00079
159	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00080	92199	94436	+	2237	rhaR_1	HTH-type transcriptional activator RhaR		1280pt3350_00080
161	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00081	94587	95765	+	1178	scmP_1	N-acetylcysteine deacetylase	3.5.1.-	1280pt3350_00081
163	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00082	95767	97155	+	1388	norB_1	Quinolone resistance protein NorB		1280pt3350_00082
165	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00083	99315	97648	-	1667		hypothetical protein		1280pt3350_00083
167	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00084	101410	99635	-	1775		Oleate hydratase	4.2.1.53	1280pt3350_00084
169	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00085	102456	101584	-	872		hypothetical protein		1280pt3350_00085
171	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00086	102569	103966	+	1397	norG	HTH-type transcriptional regulator NorG		1280pt3350_00086
173	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00087	104156	104629	+	473		hypothetical protein		1280pt3350_00087
175	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00088	104891	106483	+	1592	lctP_1	L-lactate permease		1280pt3350_00088
177	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00089	108338	106812	-	1526	spa	Immunoglobulin G-binding protein A		1280pt3350_00089
179	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00090	109511	108759	-	752	sarS	HTH-type transcriptional regulator SarS		1280pt3350_00090
181	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00091	110878	109880	-	998	yfhA	putative siderophore transport system permease protein YfhA		1280pt3350_00091
183	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00092	111870	110875	-	995	yfiZ_1	putative siderophore transport system permease protein YfiZ		1280pt3350_00092
185	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00093	112878	111886	-	992	yfiY	putative siderophore-binding lipoprotein YfiY		1280pt3350_00093
187	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00094	113109	114089	+	980	sbnA	N-(2-amino-2-carboxyethyl)-L-glutamate synthase	2.5.1.140	1280pt3350_00094
189	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00095	114086	115096	+	1010	sbnB	N-((2S)-2-amino-2-carboxyethyl)-L-glutamate dehydrogenase	1.5.1.51	1280pt3350_00095
191	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00096	115117	116871	+	1754	sbnC	Staphyloferrin B synthase	6.3.2.56	1280pt3350_00096
193	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00097	116948	118120	+	1172	sbnD	Staphyloferrin B transporter		1280pt3350_00097
195	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00098	118110	119846	+	1736	sbnE	L-2,3-diaminopropanoate--citrate ligase	6.3.2.54	1280pt3350_00098
197	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00099	119827	121605	+	1778	sbnF	2-[(L-alanin-3-ylcarbamoyl)methyl]-3-(2-aminoethylcarbamoyl)-2-hydroxypropanoate synthase	6.3.2.55	1280pt3350_00099
199	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00100	121577	122356	+	779	garL	5-keto-4-deoxy-D-glucarate aldolase	4.1.2.20	1280pt3350_00100
201	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00101	122356	123558	+	1202	sbnH	2-[(L-alanin-3-ylcarbamoyl)methyl]-2-hydroxybutanedioate decarboxylase	4.1.1.117	1280pt3350_00101
203	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00102	123562	124326	+	764	sbnI	L-serine kinase SbnI	2.7.1.225	1280pt3350_00102
205	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00103	124522	124929	+	407		hypothetical protein		1280pt3350_00103
207	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00104	124979	125605	+	626		hypothetical protein		1280pt3350_00104
209	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00105	125817	126593	+	776	butA	Diacetyl reductase [(S)-acetoin forming]	1.1.1.304	1280pt3350_00105
211	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00106	126938	127909	+	971	wbgU	UDP-N-acetylglucosamine 4-epimerase	5.1.3.7	1280pt3350_00106
213	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00107	127872	128564	+	692		hypothetical protein		1280pt3350_00107
215	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00108	128774	129940	+	1166	wbnH	O-antigen biosynthesis glycosyltransferase WbnH	2.4.1.306	1280pt3350_00108
217	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00109	129921	131159	+	1238		hypothetical protein		1280pt3350_00109
219	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00110	131149	132579	+	1430		hypothetical protein		1280pt3350_00110
221	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00111	132847	133446	+	599	sodM	Superoxide dismutase [Mn/Fe] 2	1.15.1.1	1280pt3350_00111
223	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00112	133814	134539	+	725		putative protein		1280pt3350_00112
225	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00113	135471	134731	-	740		hypothetical protein		1280pt3350_00113
227	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00114	135722	136429	+	707	deoD	Purine nucleoside phosphorylase DeoD-type	2.4.2.1	1280pt3350_00114
229	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00115	136430	137788	+	1358	tet(38)	tetracycline efflux MFS transporter Tet(38)		1280pt3350_00115
231	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00116	137869	138531	+	662	deoC1	Deoxyribose-phosphate aldolase 1	4.1.2.4	1280pt3350_00116
233	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00117	138559	139737	+	1178	deoB	Phosphopentomutase	5.4.2.7	1280pt3350_00117
235	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00118	140683	139868	-	815	phnE_1	Phosphate-import permease protein PhnE		1280pt3350_00118
237	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00119	141480	140680	-	800	phnE_2	Phosphate-import permease protein PhnE		1280pt3350_00119
239	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00120	142255	141482	-	773	glnQ	Glutamine transport ATP-binding protein GlnQ		1280pt3350_00120
241	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00121	143425	142469	-	956	phnD2	putative ABC transporter phosphonate/phosphite binding protein PhnD2		1280pt3350_00121
243	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00122	143654	145198	+	1544		hypothetical protein		1280pt3350_00122
245	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00123	145249	146784	+	1535	yfkN	Trifunctional nucleotide phosphoesterase protein YfkN		1280pt3350_00123
247	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00124	147230	147132	-	98		hypothetical protein		1280pt3350_00124
249	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00125	147444	147929	+	485	repN	Replication initiation protein		1280pt3350_00125
251	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00126	147914	148204	+	290	repE	Replication initiation protein		1280pt3350_00126
253	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00127	149228	149449	+	221		IS200/IS605 family transposase ISSep3		1280pt3350_00127
255	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00128	149899	152508	+	2609	adhE	Aldehyde-alcohol dehydrogenase		1280pt3350_00128
257	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00129	152853	153521	+	668	cap8A_1	Capsular polysaccharide type 8 biosynthesis protein cap8A		1280pt3350_00129
259	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00130	153537	154223	+	686	ywqD_1	Tyrosine-protein kinase YwqD	2.7.10.2	1280pt3350_00130
261	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00131	154226	154990	+	764	ywqE_1	Tyrosine-protein phosphatase YwqE	3.1.3.48	1280pt3350_00131
263	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00132	155010	156833	+	1823	pglF	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase	4.2.1.135	1280pt3350_00132
265	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00133	156823	157851	+	1028	capD	UDP-glucose 4-epimerase	5.1.3.2	1280pt3350_00133
267	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00134	157864	158973	+	1109	wbjC	UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase	1.1.1.367	1280pt3350_00134
269	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00135	158977	160101	+	1124	wbpI	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase	5.1.3.23	1280pt3350_00135
271	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00136	160104	160730	+	626	dapH_1	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase	2.3.1.89	1280pt3350_00136
273	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00137	160735	161844	+	1109		hypothetical protein		1280pt3350_00137
275	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00138	161858	163024	+	1166		hypothetical protein		1280pt3350_00138
